"symbol","stock_code","component_name","sw_level1_name","pe_ttm","pb_mrq","ps_ttm","pcf_ocf_ttm","total_market_cap","notlimited_marketcap_a","valuation_bucket","market_cap_bucket","fundamental_quality_flag","fundamental_score","data_status"
"002745.SZ","002745","木林森","电子","-14.7639","1.4953","0.9706","18.4402","17735788468.05","12715863597.8","高估值","大","中性","-0.5","ok"
"002747.SZ","002747","埃斯顿","机械设备","304.0658","12.2253","8.1439","126.7381","39582956727.7","32000349285.2","高估值","大","中性","-0.5","ok"
"002755.SZ","002755","奥赛康","医药生物","50.4263","4.0687","7.6647","20.5781","13430480278.97","13430337025.97","中性","大","中性","0.5","ok"
"002761.SZ","002761","浙江建投","建筑装饰","32.7978","1.0587","0.1149","3.4511","9181362253.14","7496798525.37","中性","中","中性","0.5","ok"
"002768.SZ","002768","国恩股份","基础化工","26.4761","3.7886","1.1761","50.8665","26128150000","15256646275","中性","大","中性","0.5","ok"
"002779.SZ","002779","中坚科技","机械设备","80.5638","13.6193","10.9788","-116.7622","12810336000","11493833782.2","高估值","大","风险","-1.5","ok"
"002807.SZ","002807","江阴银行","银行","5.2746","0.544","2.5746","-1.6009","10857203588.67","10841151366.19","低估值","大","中性","0.5","ok"
"002815.SZ","002815","崇达技术","电子","78.864","2.1383","2.4173","64.4466","19018271902.84","11975758435.74","中性","大","中性","0.5","ok"
"002827.SZ","002827","高争民爆","基础化工","36.0431","6.338","3.743","87.9967","6843036200","6817168507.5","中性","中","中性","0.5","ok"
"002832.SZ","002832","比音勒芬","纺织服饰","20.8394","2.2027","2.7732","15.3597","12618333627.24","8610038259.24","低估值","大","稳健","1.5","ok"
"002838.SZ","002838","道恩股份","基础化工","60.4645","4.2429","2.4584","88.6543","15945018738.66","14019655360.92","中性","大","中性","0.5","ok"
"002839.SZ","002839","张家港行","银行","5.3104","0.5537","2.2576","2.0862","10584013737.42","10573946846.81","低估值","中","稳健","1.5","ok"
"002840.SZ","002840","华统股份","食品饮料","-15.1529","1.7309","0.7922","17.7256","6224811209.68","6181829857.84","高估值","中","中性","-0.5","ok"
"002847.SZ","002847","盐津铺子","食品饮料","16.1245","5.9514","2.2239","10.9639","12914959584.2","11655492823.6","中性","大","中性","0.5","ok"
"002859.SZ","002859","洁美科技","电子","140.7018","10.7013","14.9988","108.7186","32902651576.39","31065701456","高估值","大","中性","-0.5","ok"
"002867.SZ","002867","周大生","纺织服饰","11.7698","1.9883","1.6639","-155.4929","13470731012.13","13391591337.64","低估值","大","中性","0.5","ok"
"002881.SZ","002881","美格智能","通信","74.9525","3.9336","2.9159","-116.0833","10723527600","6460640030","中性","中","中性","-0.5","ok"
"002882.SZ","002882","金龙羽","电力设备","96.4026","3.5174","1.6147","-10.8036","7467525000","4256998987.5","高估值","中","风险","-1.5","ok"
"002891.SZ","002891","中宠股份","农林牧渔","26.5623","2.7327","1.6307","48.8269","9219151445.44","9219151445.44","中性","中","中性","0.5","ok"
"002892.SZ","002892","科力尔","电力设备","350.6304","5.3088","3.6258","49.3338","6754138773.12","4555216569.15","高估值","中","中性","-0.5","ok"
"002895.SZ","002895","川恒股份","基础化工","15.1178","2.3797","2.177","54.1961","18849747575.13","18652270628.13","低估值","大","稳健","1.5","ok"
"002896.SZ","002896","中大力德","机械设备","247.1097","11.5615","13.2324","674.948","13929526849.6","13929526849.6","高估值","大","中性","-0.5","ok"
"002897.SZ","002897","意华股份","通信","46.8377","4.8432","2.1757","38.3079","13767468222.96","13095881703.63","中性","大","中性","0.5","ok"
"002901.SZ","002901","大博医疗","医药生物","31.0501","5.3614","7.4175","22.8007","19968160774.38","13910121515.29","中性","大","中性","0.5","ok"
"002906.SZ","002906","华阳集团","汽车","15.7366","1.7412","0.9126","10.5128","12461578033.34","12454302720.42","低估值","大","稳健","1.5","ok"
"002911.SZ","002911","佛燃能源","公用事业","12.8056","3.182","0.4297","7.5356","13449101598.8","13126513690.36","中性","大","中性","0.5","ok"
"002913.SZ","002913","奥士康","电子","72.95","3.5089","2.7372","50.1612","15544317485.92","14776539822.52","中性","大","中性","0.5","ok"
"002922.SZ","002922","伊戈尔","电子","48.0646","2.8779","1.9992","25.0036","10906865268.44","9730371471.17","中性","大","中性","0.5","ok"
"002925.SZ","002925","盈趣科技","电子","29.4795","3.3872","3.9697","34.2207","17501454122.04","16580171316.24","中性","大","中性","0.5","ok"
"002928.SZ","002928","华夏航空","交通运输","11.6328","1.9816","1.0507","2.7749","7886750363.5","7886710412.75","低估值","中","稳健","1.5","ok"
"002929.SZ","002929","润建股份","通信","-865.3795","2.5677","1.6627","16.364","16277716084.56","12309825101.56","高估值","大","中性","-0.5","ok"
"002936.SZ","002936","郑州银行","银行","8.2082","0.3463","1.2341","0.4262","16002080790.08","12371560768.16","低估值","大","稳健","1.5","ok"
"002941.SZ","002941","新疆交建","建筑装饰","14.958","1.4805","0.7292","-710.5197","6939933645.72","6939933645.72","低估值","中","中性","0.5","ok"
"002946.SZ","002946","新乳业","食品饮料","16.8998","3.4669","1.1575","8.1081","13254518015.2","13101007535","中性","大","中性","0.5","ok"
"002947.SZ","002947","恒铭达","电子","28.138","5.0039","5.5364","27.1444","16182181661.76","12524864723.68","中性","大","中性","0.5","ok"
"002948.SZ","002948","青岛银行","银行","6.0403","0.7743","2.2157","1.494","32943207737.84","19935622318.96","低估值","大","稳健","1.5","ok"
"002958.SZ","002958","青农商行","银行","5.1305","0.433","1.679","-0.6012","16389101098.45","16046703864.4","低估值","大","中性","0.5","ok"
"002960.SZ","002960","青鸟智控","机械设备","27.3639","1.373","1.8407","29.8256","8630086586.94","7929729424.89","中性","中","中性","0.5","ok"
"002961.SZ","002961","瑞达期货","非银金融","13.471","2.195","6.2894","-2.727","9018811218.03","9018768670.53","低估值","中","中性","0.5","ok"
"002965.SZ","002965","祥鑫科技","汽车","253.6609","3.1111","1.6076","-111.7862","13194711449.48","9467469101.2","高估值","大","风险","-1.5","ok"
"002967.SZ","002967","广电计量","社会服务","25.2421","2.2398","2.9801","11.5221","11021829169.6","9467021754.3","中性","大","中性","0.5","ok"
"002978.SZ","002978","安宁股份","有色金属","19.1264","1.4006","6.2701","13.2914","12290618506.32","9616039690.32","低估值","大","稳健","1.5","ok"
"002979.SZ","002979","雷赛智能","机械设备","80.8687","10.4326","9.7294","81.1897","19543796104","13777000158.72","高估值","大","中性","-0.5","ok"
"002985.SZ","002985","北摩高科","国防军工","38.6771","2.994","8.972","51.2133","8256517568","8233773292.08","中性","中","中性","0.5","ok"
"002987.SZ","002987","京北方","计算机","32.8811","3.3465","2.0825","24.7457","10055598078.12","9777596338.44","中性","中","中性","0.5","ok"
"002993.SZ","002993","奥海科技","电子","39.0776","2.7744","1.8715","14.0412","13454189600","11621903514.42","中性","大","中性","0.5","ok"
"003006.SZ","003006","百亚股份","美容护理","26.4704","3.7137","1.6473","16.526","5851802899.8","5837163783.3","中性","中","中性","0.5","ok"
"003010.SZ","003010","若羽臣","商贸零售","31.9231","9.6522","1.983","234.94","7639620730.56","5554051989.92","高估值","中","中性","-0.5","ok"
"003039.SZ","003039","顺控发展","环保","22.2033","2.3637","3.1006","12.7343","7027363147.4","7027363147.4","低估值","中","稳健","1.5","ok"
"300007.SZ","300007","汉威科技","机械设备","69.7458","3.9332","5.0099","186.1106","11621045018.31","10041763796.61","中性","大","中性","0.5","ok"
"300008.SZ","300008","天海防务","国防军工","29.2644","4.0002","2.0932","18.2969","10022568971.4","9554282411.8","中性","中","中性","0.5","ok"
"300009.SZ","300009","安科生物","医药生物","21.1433","3.0924","5.7311","18.1359","14668752216.24","10801570696.96","中性","大","中性","0.5","ok"
"300026.SZ","300026","红日药业","医药生物","431.4976","1.201","2.2024","12.9002","10304251090.91","10294546207.75","高估值","中","中性","-0.5","ok"
"300031.SZ","300031","宝通科技","传媒","32.9264","2.1181","2.3716","29.506","8659681652.6","7277331126.56","中性","中","中性","0.5","ok"
"300034.SZ","300034","钢研高纳","国防军工","127.066","3.2893","3.3635","24.1966","12679658467.33","12203872526.57","高估值","大","中性","-0.5","ok"
"300035.SZ","300035","中科电气","电力设备","21.6521","1.7201","0.9477","-5.1853","8663793121.44","7373559547.2","低估值","中","中性","0.5","ok"
"300036.SZ","300036","超图软件","计算机","110.2911","2.0228","3.6547","340.6728","5336662462.11","4819920231.99","高估值","中","中性","-0.5","ok"
"300045.SZ","300045","华力创通","国防军工","-160.7654","6.7621","12.9667","75.2015","10258212653.28","7992527964.48","高估值","中","中性","-0.5","ok"
"300047.SZ","300047","天源迪科","计算机","176.284","1.7599","0.608","42.2657","5816231408.64","5234071794.72","高估值","中","中性","-0.5","ok"
